Symbol,Name,Exchange,Last,Industry,SIC Description,Time,Previous,5D MA,20D MA,5D Avg Vol,20D Avg Vol,Volume,Prev Vol
AIKI,AIkido Pharma Inc,NASDAQ,0.4688,Medical - Biomedical,N/A,4/5/2022,0.4545,0.4545,0.4319,2740360,1507125,11475700,323200
AKU,Akumin Inc,NASDAQ,1.12,Medical Services,N/A,4/5/2022,1.11,1.109,1.0216,88600,81005,43500,10000
ANY,Sphere 3D Corp,NASDAQ,2.53,IT Services,SIC-7374 Services-Computer Processing & Data Preparat,4/5/2022,2.17,2.24,2.03,15077000,7407410,54983301,9632400
APSG,Apollo Strategic Growth Capital Cl A,NYSE,9.95,Transportation - Services,SIC-4700 Transportation Services,4/5/2022,9.94,9.96,9.92,1273540,612705,1676000,296000
ARLP,Alliance Resource Pt,NASDAQ,15.55,Coal,SIC-1221 Bituminous Coal & Lignite Mining,4/5/2022,15.17,15.4,15.06,694420,658960,676000,532200
ASC,Ardmore Shipping Corp,NYSE,4.64,Transportation - Ship,SIC-4412 Deep Sea Foreign Transportation of Freight,4/5/2022,4.62,4.58,4.38,482600,240940,1907000,142900
ASRT,Assertio Therapeutics Inc,NASDAQ,3.15,Medical - Drugs,SIC-2834 Pharmaceutical Preparations,4/5/2022,3.1,2.94,2.7,1320140,999525,3298900,1424400
ATEX,Pdvwireless,NASDAQ,58.48,Communications Infrastructure,SIC-4813 Telephone Communications (No Radiotelephone),4/5/2022,58.29,58.35,57.67,74560,67930,84400,76400
ATHA,Athira Pharma Inc,NASDAQ,13.43,Medical - Biomedical,"SIC-2836 Biological Products, (No Disgnostic Substanc",4/5/2022,13.42,13.33,11.44,374180,307040,466100,307800
AUBN,Auburn Natl Bncp,NASDAQ,33.57,Banks - Southeast,SIC-6022 State Commercial Banks,4/5/2022,32.62,33.18,33.16,8340,6360,11400,5000
AUUD,Auddia Inc,NASDAQ,2.23,Technology Services,N/A,4/5/2022,2.22,2.19,1.92,1295220,463930,248800,88100
AWR,American States Water Company,NYSE,89.37,Utility - Water Supply,SIC-4941 Water Supply,4/5/2022,89.32,90.02,87.14,216740,185300,194100,182400
BBAI,Bigbear.Ai Holdings Inc,NYSE,10.34,IT Services,SIC-7372 Services-Prepackaged Software,4/5/2022,8.74,8.79,7.92,699460,514055,2104600,185900
BEEM,Beam Global,NASDAQ,25.37,Auto - Truck Original Parts,SIC-3674 Semiconductors & Related Devices,4/5/2022,23.3,21.87,17.2,453440,372790,552900,376800
BIO,Bio-Rad Laboratories,NYSE,574.85,Medical Products,SIC-3826 Laboratory Analytical Instruments,4/5/2022,569.55,571.75,566.14,212680,191420,273100,223900
BKI,Black Knight Inc,NYSE,66.27,Business Information,SIC-7372 Services-Prepackaged Software,4/5/2022,59.27,59.92,59,2357780,1644505,6976300,1456700
BLUA,Blueriver Acquisition Corp Cl A,NYSE,9.81,Unclassified,SIC-6770 Blank Checks,4/5/2022,9.8,9.8,9.78,88040,51830,100200,29800
BOAC,Bluescape Opportunities Acquisition Cl A,NYSE,9.87,Unclassified,N/A,4/5/2022,9.86,9.86,9.85,321340,153935,235100,48800
