Symbol,Name,Exchange,Last,Industry,SIC Description,Time
ROG,Rogers Corp,NYSE,272.5,Electronics - Misc Components,"SIC-2821 Plastic Materials, Synth Resins & Nonvulcan",4/28/2022
EL,Estee Lauder Companies,NYSE,272.33,Cosmetics & Toiletries,"SIC-2844 Perfumes, Cosmetics & Other Toilet Preparati",4/28/2022
MKTX,Marketaxess Holdings,NASDAQ,271.53,Securities Exchanges,"SIC-6211 Security Brokers, Dealers & Flotation Compan",4/28/2022
COHR,Coherent Inc,NASDAQ,270.24,Semi-Eqpt Wafer Companies,SIC-3826 Laboratory Analytical Instruments,4/28/2022
STZ.B,Constellation Brd Cl B,NYSE,269.66,Beverages - Alcohol,N/A,4/28/2022
VRTX,Vertex Pharmaceutic,NASDAQ,268.64,Medical - Biomedical,SIC-2834 Pharmaceutical Preparations,4/28/2022
CACI,Caci International,NYSE,268.37,Computer - Services,SIC-7373 Services-Computer Integrated Systems Design,4/28/2022
MORN,Morningstar Inc,NASDAQ,268.31,Business Information,SIC-6282 Investment Advice,4/28/2022
DJCO,Daily Journal Cp,NASDAQ,267.4,Publishing - Newspapers,SIC-2711 Newspapers: Publishing or Publishing & Print,4/28/2022
NSC,Norfolk Southern Corp,NYSE,265.85,Transportation - Rail,"SIC-4011 Railroads, Line-Haul Operating",4/28/2022
ROK,Rockwell Automation Inc,NYSE,263.35,Industrial Robotics,"SIC-3829 Measuring & Controlling Devices, NEC",4/28/2022
TEAM,Atlassian Cls A Ord,NASDAQ,259.98,Internet - Software,SIC-7372 Services-Prepackaged Software,4/28/2022
FLT,Fleetcor Technologies,NYSE,259.07,Financial Transaction Services,"SIC-7389 Services-Business Services, NEC",4/28/2022
MTN,Vail Resorts,NYSE,258.03,Leisure & Recreation Services,SIC-7990 Services-Miscellaneous Amusement & Recreatio,4/28/2022
DHR,Danaher Corp,NYSE,257,Conglomerates - Div Operations,"SIC-3823 Industrial Instruments For Measurement, Disp",4/28/2022
ALX,Alexander's Inc,NYSE,256.99,REIT - Equity Trust Other,SIC-6798 Real Estate Investment Trusts,4/28/2022
SEDG,Solaredge Tech,NASDAQ,254.41,Solar,SIC-3674 Semiconductors & Related Devices,4/28/2022
CI,Cigna Corp,NYSE,254.24,Insurance - Multi Line,SIC-6324 Hospital & Medical Service Plans,4/28/2022
MCD,McDonald's Corp,NYSE,254.19,Retail - Restaurants,SIC-5812 Retail-Eating Places,4/28/2022
BDX,Becton Dickinson and Company,NYSE,253.16,Medical - Dental Suppliers,SIC-3841 Surgical & Medical Instruments & Apparatus,4/28/2022
VMI,Valmont Industries,NYSE,252.47,Steel - Pipe & Tube,SIC-3440 Fabricated Structural Metal Products,4/28/2022
AMT,American Tower Corp,NYSE,252.18,REIT - Equity Trust Other,SIC-6798 Real Estate Investment Trusts,4/28/2022
SYK,Stryker Corp,NYSE,252.1,Medical Products,SIC-3841 Surgical & Medical Instruments & Apparatus,4/28/2022
SBNY,Signature Bank,NASDAQ,251.54,Banks - Northeast,SIC-6022 State Commercial Banks,4/28/2022
STZ,Constellation Brands Inc,NYSE,250.18,Beverages - Alcohol,SIC-2080 Beverages,4/28/2022
CSL,Carlisle Companies Inc,NYSE,249.93,Conglomerates - Div Operations,"SIC-3060 Fabricated Rubber Products, NEC",4/28/2022
DG,Dollar General Corp,NYSE,246.58,Retail - Discount,SIC-5331 Retail-Variety Stores,4/28/2022
ISRG,Intuitive Surg Inc,NASDAQ,243.26,Medical Instruments,"SIC-3842 Orthopedic, Prosthetic & Surgical Appliances",4/28/2022
